last_name, first_name,player_id,year,p_formatted_ip,woba,xwoba,exit_velocity_avg,barrel_batted_rate,hard_hit_percent,whiff_percent,
Wainwright, Adam,425794,2021,125.2,.289,.309,88.8,7.1,38.8,20.8,
Greinke, Zack,425844,2021,126.2,.296,.308,87.8,6.5,33.2,22.8,
Hill, Rich,448179,2021,100.1,.311,.325,88.8,8.9,36.2,23,
Morton, Charlie,450203,2021,110.0,.281,.297,88.4,5.1,34.7,29.4,
Lester, Jon,452657,2021,75.1,.364,.337,88.9,8,39.1,19.8,
Scherzer, Max,453286,2021,111.0,.265,.280,89.1,11.4,34.7,35.3,
Arrieta, Jake,453562,2021,74.1,.372,.376,91.4,10.4,47.7,19.5,
Cueto, Johnny,456501,2021,93.2,.331,.332,88.6,7,38.4,23.5,
Happ, J.A.,457918,2021,98.1,.384,.363,90.5,12,42.5,19.7,
Lynn, Lance,458681,2021,103.2,.249,.255,88.3,7.1,36.4,26.7,
Anderson, Brett,474463,2021,63.0,.319,.369,91.5,11,47.6,14.3,
Kershaw, Clayton,477132,2021,106.1,.267,.273,88.3,6.6,37.9,34,
Miley, Wade,489119,2021,107.0,.292,.307,85.4,6.1,34.2,23.2,
Pineda, Michael,501381,2021,72.1,.318,.329,90.2,10.1,44.5,23.3,
Minor, Mike,501985,2021,118.1,.322,.320,89.1,9,36.3,25.2,
Gibson, Kyle,502043,2021,113.0,.280,.296,88.3,3.8,37.2,26.2,
Cobb, Alex,502171,2021,77.2,.286,.300,89.4,3.7,39.7,27.2,
Darvish, Yu,506433,2021,115.2,.286,.271,87.7,6.8,33.6,27.9,
Bumgarner, Madison,518516,2021,77.2,.313,.317,90.4,7.9,39.6,22.5,
Duffy, Danny,518633,2021,61.0,.285,.315,89.5,6.7,40.6,29.1,
Harvey, Matt,518774,2021,88.0,.355,.353,89.5,7.7,38.3,20.5,
Kelly, Merrill,518876,2021,123.0,.310,.315,89.4,5.9,41,21.8,
Perez, Martin,527048,2021,94.2,.346,.349,88.5,8.1,40.7,18.6,
Shoemaker, Matt,533167,2021,60.1,.381,.374,89.1,9.9,40.4,22.2,
Anderson, Tyler,542881,2021,103.1,.309,.321,87.9,8.2,35.2,24.3,
Cole, Gerrit,543037,2021,130.1,.262,.265,89.5,9.1,39.7,32.1,
DeSclafani, Anthony,543101,2021,122.0,.264,.298,89.3,8.6,41.6,24.1,
Eovaldi, Nathan,543135,2021,116.0,.295,.282,87.5,5.3,33.7,24.6,
Gray, Sonny,543243,2021,70.0,.332,.301,86.6,5.9,31.4,27.8,
Hendricks, Kyle,543294,2021,121.2,.340,.334,87,9,34.7,19.8,
Lyles, Jordan,543475,2021,114.1,.354,.346,90.7,8.8,41,22.5,
Bauer, Trevor,545333,2021,107.2,.275,.283,90.3,10.6,42.4,30.1,
Kim, Kwang Hyun,547942,2021,87.0,.292,.313,88.3,7.6,36.7,22.5,
Ryu, Hyun Jin,547943,2021,116.0,.295,.312,89,7.7,40.7,22.5,
Stripling, Ross,548389,2021,80.0,.338,.331,90.2,10.9,40.6,24.1,
Wheeler, Zack,554430,2021,139.2,.255,.247,84.8,4.2,29.5,26.9,
Urena, Jose,570632,2021,80.0,.369,.365,91.2,8.4,48.7,19,
Boyd, Matthew,571510,2021,70.2,.296,.306,87.9,7.4,36.9,22.5,
